#datum;m_txx;m_txxd;m_txa;m_dtx0;m_dtx25;m_dtx30;m_dtx35
1901-01;7.5;1901-01-23;-1.8;20;0;0;0
1901-02;6.8;1901-02-07;0.8;11;0;0;0
1901-03;18.0;1901-03-19;9.1;0;0;0;0
1901-04;23.6;1901-04-10;16.6;0;0;0;0
1901-05;30.5;1901-05-31;22.5;0;5;1;0
1901-06;31.5;1901-06-03;26.5;0;23;3;0
1901-07;34.0;1901-07-30;28.1;0;26;11;0
1901-08;31.7;1901-08-01;26.2;0;22;5;0
1901-09;25.7;1901-09-01;20.2;0;1;0;0
1901-10;22.2;1901-10-02;15.4;0;0;0;0
1901-11;16.2;1901-11-14;7.6;0;0;0;0
1901-12;10.2;1901-12-23;6.3;0;0;0;0
1902-01;11.0;1902-01-25;5.9;0;0;0;0
1902-02;8.5;1902-02-09;4.5;1;0;0;0
1902-03;18.2;1902-03-22;8.7;1;0;0;0
1902-04;22.5;1902-04-21;14.7;0;0;0;0
1902-05;25.6;1902-05-31;17.0;0;2;0;0
1902-06;31.1;1902-06-30;23.4;0;9;2;0
1902-07;32.0;1902-07-01;25.9;0;22;3;0
1902-08;32.0;1902-08-07;26.5;0;21;5;0
1902-09;28.4;1902-09-05;20.4;0;7;0;0
1902-10;18.2;1902-10-02;13.6;0;0;0;0
1902-11;12.3;1902-11-01;4.8;6;0;0;0
1902-12;8.2;1902-12-27;-0.6;13;0;0;0
1903-01;13.6;1903-01-11;2.1;10;0;0;0
1903-02;18.0;1903-02-23;7.9;1;0;0;0
1903-03;21.9;1903-03-27;13.0;0;0;0;0
1903-04;21.5;1903-04-29;12.7;0;0;0;0
1903-05;27.5;1903-05-03;21.1;0;3;0;0
1903-06;28.9;1903-06-03;23.9;0;9;0;0
1903-07;35.2;1903-07-20;26.1;0;21;6;1
1903-08;31.0;1903-08-15;25.8;0;19;2;0
1903-09;29.3;1903-09-07;21.6;0;8;0;0
1903-10;26.6;1903-10-07;15.5;0;1;0;0
1903-11;16.8;1903-11-03;9.1;0;0;0;0
1903-12;11.9;1903-12-02;4.5;3;0;0;0
1904-01;6.3;1904-01-20;0.3;18;0;0;0
1904-02;12.5;1904-02-22;6.0;0;0;0;0
1904-03;15.0;1904-03-10;9.4;0;0;0;0
1904-04;24.2;1904-04-24;16.2;0;0;0;0
1904-05;27.3;1904-05-18;21.2;0;5;0;0
1904-06;31.6;1904-06-17;25.7;0;20;4;0
1904-07;35.0;1904-07-17;30.0;0;31;14;1
1904-08;34.5;1904-08-06;27.2;0;22;8;0
1904-09;26.4;1904-09-14;19.3;0;3;0;0
1904-10;18.5;1904-10-02;14.4;0;0;0;0
1904-11;13.5;1904-11-05;5.3;5;0;0;0
1904-12;9.5;1904-12-30;4.7;2;0;0;0
1905-01;6.9;1905-01-31;-0.5;14;0;0;0
1905-02;9.9;1905-02-28;4.1;3;0;0;0
1905-03;21.0;1905-03-31;10.4;0;0;0;0
1905-04;21.0;1905-04-30;13.7;0;0;0;0
1905-05;25.5;1905-05-31;20.9;0;1;0;0
1905-06;30.2;1905-06-06;25.4;0;18;1;0
1905-07;34.9;1905-07-02;29.6;0;29;14;0
1905-08;35.0;1905-08-04;27.9;0;22;10;1
1905-09;30.5;1905-09-12;22.4;0;9;1;0
1905-10;17.5;1905-10-01;10.0;0;0;0;0
1905-11;14.4;1905-11-08;9.0;0;0;0;0
1905-12;9.8;1905-12-01;4.4;2;0;0;0
1906-01;9.8;1906-01-14;2.1;10;0;0;0
1906-02;15.0;1906-02-28;4.9;0;0;0;0
1906-03;17.8;1906-03-08;9.9;0;0;0;0
1906-04;22.2;1906-04-13;16.9;0;0;0;0
1906-05;28.1;1906-05-25;22.4;0;6;0;0
1906-06;33.3;1906-06-29;24.5;0;16;4;0
1906-07;31.8;1906-07-20;27.1;0;24;6;0
1906-08;32.5;1906-08-04;25.4;0;18;4;0
1906-09;30.0;1906-09-06;19.8;0;10;1;0
1906-10;19.9;1906-10-08;14.9;0;0;0;0
1906-11;17.5;1906-11-06;11.4;0;0;0;0
1906-12;11.3;1906-12-01;2.0;11;0;0;0
1907-01;6.5;1907-01-16;0.8;12;0;0;0
1907-02;6.5;1907-02-19;1.4;10;0;0;0
1907-03;12.4;1907-03-20;6.5;0;0;0;0
1907-04;15.3;1907-04-24;11.5;0;0;0;0
1907-05;29.8;1907-05-09;23.8;0;16;0;0
1907-06;30.6;1907-06-29;25.0;0;16;2;0
1907-07;33.0;1907-07-02;25.3;0;15;2;0
1907-08;31.1;1907-08-06;26.0;0;20;3;0
1907-09;28.1;1907-09-03;21.3;0;3;0;0
1907-10;25.8;1907-10-10;20.6;0;1;0;0
1907-11;15.8;1907-11-01;6.9;0;0;0;0
1907-12;10.4;1907-12-10;5.2;2;0;0;0
1908-01;11.4;1908-01-28;0.5;13;0;0;0
1908-02;9.0;1908-02-23;4.7;1;0;0;0
1908-03;14.0;1908-03-31;8.1;0;0;0;0
1908-04;19.6;1908-04-25;14.2;0;0;0;0
1908-05;31.5;1908-05-31;24.4;0;14;3;0
1908-06;35.1;1908-06-20;27.3;0;23;5;1
1908-07;33.9;1908-07-14;27.7;0;27;5;0
1908-08;29.9;1908-08-30;23.9;0;12;0;0
1908-09;26.2;1908-09-11;20.0;0;1;0;0
1908-10;23.7;1908-10-05;15.2;0;0;0;0
1908-11;11.6;1908-11-01;3.9;4;0;0;0
1908-12;8.8;1908-12-03;2.0;11;0;0;0
1909-01;6.6;1909-01-15;0.2;15;0;0;0
1909-02;6.5;1909-02-05;0.8;12;0;0;0
1909-03;17.9;1909-03-30;8.2;0;0;0;0
1909-04;26.4;1909-04-26;16.8;0;3;0;0
1909-05;29.0;1909-05-17;20.5;0;6;0;0
1909-06;30.0;1909-06-22;24.8;0;14;1;0
1909-07;33.9;1909-07-26;25.6;0;19;5;0
1909-08;32.3;1909-08-02;27.1;0;24;5;0
1909-09;25.1;1909-09-10;21.8;0;3;0;0
1909-10;22.9;1909-10-06;18.0;0;0;0;0
1909-11;16.1;1909-11-15;7.3;1;0;0;0
1909-12;12.6;1909-12-05;6.1;2;0;0;0
1910-01;7.0;1910-01-18;3.4;2;0;0;0
1910-02;13.5;1910-02-25;7.4;0;0;0;0
1910-03;17.0;1910-03-13;11.6;0;0;0;0
1910-04;22.0;1910-04-18;15.2;0;0;0;0
1910-05;28.7;1910-05-19;21.0;0;8;0;0
1910-06;29.6;1910-06-30;25.6;0;18;0;0
1910-07;33.8;1910-07-22;25.6;0;17;6;0
1910-08;34.9;1910-08-22;25.9;0;18;5;0
1910-09;25.0;1910-09-11;19.1;0;2;0;0
1910-10;21.6;1910-10-01;14.9;0;0;0;0
1910-11;14.8;1910-11-01;6.7;1;0;0;0
1910-12;10.5;1910-12-15;5.3;1;0;0;0
1911-01;7.5;1911-01-27;3.2;5;0;0;0
1911-02;11.9;1911-02-19;2.9;11;0;0;0
1911-03;22.1;1911-03-29;10.1;0;0;0;0
1911-04;25.7;1911-04-23;15.7;0;1;0;0
1911-05;29.0;1911-05-16;21.1;0;8;0;0
1911-06;31.9;1911-06-26;23.7;0;11;2;0
1911-07;34.1;1911-07-25;28.0;0;21;9;0
1911-08;32.8;1911-08-23;28.0;0;27;9;0
