#datum;m_txx;m_txxd;m_txa;m_dtx0;m_dtx25;m_dtx30;m_dtx35
1901-01;5.0;1901-01-22;-4.4;23;0;0;0
1901-02;9.0;1901-02-06;0.6;14;0;0;0
1901-03;21.6;1901-03-19;10.3;0;0;0;0
1901-04;23.8;1901-04-28;16.2;0;0;0;0
1901-05;29.5;1901-05-25;22.3;0;8;0;0
1901-06;33.5;1901-06-25;26.3;0;22;5;0
1901-07;35.8;1901-07-30;28.6;0;28;10;2
1901-08;32.4;1901-08-01;26.8;0;22;8;0
1901-09;29.0;1901-09-28;21.6;0;8;0;0
1901-10;26.3;1901-10-01;16.6;0;2;0;0
1901-11;17.0;1901-11-14;7.1;2;0;0;0
1901-12;14.2;1901-12-20;6.6;0;0;0;0
1902-01;9.8;1902-01-26;4.2;3;0;0;0
1902-02;12.0;1902-02-17;6.5;1;0;0;0
1902-03;20.7;1902-03-23;8.4;2;0;0;0
1902-04;21.0;1902-04-14;14.3;0;0;0;0
1902-05;28.0;1902-05-31;16.7;0;3;0;0
1902-06;31.8;1902-06-30;24.0;0;12;5;0
1902-07;34.0;1902-07-02;26.2;0;22;4;0
1902-08;35.7;1902-08-03;27.0;0;23;9;1
1902-09;30.7;1902-09-01;21.9;0;10;2;0
1902-10;19.4;1902-10-11;14.4;0;0;0;0
1902-11;12.6;1902-11-01;5.1;4;0;0;0
1902-12;8.0;1902-12-31;-4.0;21;0;0;0
1903-01;12.0;1903-01-11;0.9;14;0;0;0
1903-02;16.0;1903-02-23;6.6;1;0;0;0
1903-03;23.3;1903-03-29;13.8;0;0;0;0
1903-04;24.7;1903-04-29;13.9;0;0;0;0
1903-05;28.5;1903-05-08;21.9;0;4;0;0
1903-06;30.0;1903-06-11;23.5;0;10;1;0
1903-07;36.3;1903-07-20;26.7;0;21;9;1
1903-08;34.2;1903-08-13;26.6;0;20;5;0
1903-09;33.6;1903-09-14;24.6;0;16;4;0
1903-10;26.8;1903-10-07;16.6;0;2;0;0
1903-11;17.5;1903-11-01;9.1;0;0;0;0
1903-12;16.0;1903-12-02;5.0;5;0;0;0
1904-01;5.2;1904-01-15;-0.2;17;0;0;0
1904-02;10.9;1904-02-22;6.0;0;0;0;0
1904-03;16.1;1904-03-29;10.9;0;0;0;0
1904-04;25.2;1904-04-24;16.8;0;2;0;0
1904-05;29.1;1904-05-18;22.1;0;7;0;0
1904-06;32.4;1904-06-18;26.0;0;19;3;0
1904-07;37.5;1904-07-18;30.0;0;28;12;3
1904-08;36.4;1904-08-18;28.2;0;22;14;3
1904-09;28.0;1904-09-08;20.9;0;8;0;0
1904-10;21.0;1904-10-03;15.3;0;0;0;0
1904-11;13.7;1904-11-08;6.2;4;0;0;0
1904-12;9.9;1904-12-13;2.8;6;0;0;0
1905-01;3.6;1905-01-31;-3.0;22;0;0;0
1905-02;10.1;1905-02-28;3.2;4;0;0;0
1905-03;18.9;1905-03-31;10.9;0;0;0;0
1905-04;22.8;1905-04-11;14.6;0;0;0;0
1905-05;28.7;1905-05-03;22.7;0;10;0;0
1905-06;34.2;1905-06-26;27.1;0;20;8;0
1905-07;35.6;1905-07-06;29.7;0;26;17;3
1905-08;38.2;1905-08-04;30.3;0;28;16;6
1905-09;33.2;1905-09-12;24.3;0;14;8;0
1905-10;17.8;1905-10-01;10.6;0;0;0;0
1905-11;16.2;1905-11-02;10.6;0;0;0;0
1905-12;7.9;1905-12-01;2.7;6;0;0;0
1906-01;4.9;1906-01-09;0.0;13;0;0;0
1906-02;15.2;1906-02-28;4.4;2;0;0;0
1906-03;19.2;1906-03-23;9.8;0;0;0;0
1906-04;24.9;1906-04-13;18.3;0;0;0;0
1906-05;28.9;1906-05-09;23.9;0;12;0;0
1906-06;32.7;1906-06-29;25.7;0;18;8;0
1906-07;35.2;1906-07-19;27.7;0;27;8;1
1906-08;36.7;1906-08-04;25.8;0;18;6;1
1906-09;31.3;1906-09-06;19.3;0;9;4;0
1906-10;22.8;1906-10-16;15.4;0;0;0;0
1906-11;19.3;1906-11-08;10.5;0;0;0;0
1906-12;9.2;1906-12-01;0.7;16;0;0;0
1907-01;4.5;1907-01-03;-1.6;15;0;0;0
1907-02;5.2;1907-02-28;-0.1;11;0;0;0
1907-03;9.5;1907-03-30;4.1;1;0;0;0
1907-04;18.4;1907-04-18;13.5;0;0;0;0
1907-05;30.3;1907-05-14;25.1;0;20;3;0
1907-06;31.5;1907-06-30;25.3;0;20;3;0
1907-07;34.1;1907-07-02;26.0;0;19;3;0
1907-08;34.2;1907-08-16;27.1;0;21;10;0
1907-09;31.0;1907-09-03;21.9;0;4;2;0
1907-10;26.8;1907-10-01;21.7;0;6;0;0
1907-11;15.1;1907-11-10;7.0;0;0;0;0
1907-12;9.2;1907-12-13;3.8;4;0;0;0
1908-01;5.7;1908-01-28;-0.8;17;0;0;0
1908-02;6.0;1908-02-28;2.7;5;0;0;0
1908-03;15.3;1908-03-30;9.4;0;0;0;0
1908-04;21.1;1908-04-26;14.2;0;0;0;0
1908-05;32.3;1908-05-31;24.7;0;12;6;0
1908-06;37.0;1908-06-21;27.4;0;19;11;2
1908-07;35.9;1908-07-14;27.2;0;26;6;1
1908-08;30.8;1908-08-30;23.9;0;11;1;0
1908-09;28.3;1908-09-11;20.6;0;4;0;0
1908-10;24.2;1908-10-05;15.0;0;0;0;0
1908-11;8.9;1908-11-02;2.1;8;0;0;0
1908-12;4.9;1908-12-12;-0.2;15;0;0;0
1909-01;5.3;1909-01-16;-0.9;18;0;0;0
1909-02;7.1;1909-02-06;-0.9;20;0;0;0
1909-03;20.1;1909-03-31;10.0;0;0;0;0
1909-04;28.5;1909-04-28;16.5;0;5;0;0
1909-05;30.9;1909-05-17;21.2;0;8;1;0
1909-06;30.3;1909-06-23;25.1;0;16;2;0
1909-07;35.3;1909-07-26;26.3;0;19;4;1
1909-08;34.7;1909-08-03;28.7;0;29;11;0
1909-09;27.9;1909-09-12;22.3;0;4;0;0
1909-10;23.9;1909-10-07;18.3;0;0;0;0
1909-11;17.7;1909-11-16;7.0;2;0;0;0
1909-12;13.0;1909-12-05;6.8;3;0;0;0
1910-01;5.3;1910-01-19;2.5;3;0;0;0
1910-02;15.3;1910-02-28;8.5;0;0;0;0
1910-03;17.1;1910-03-20;11.5;0;0;0;0
1910-04;24.1;1910-04-15;16.2;0;0;0;0
1910-05;29.9;1910-05-19;22.7;0;13;0;0
1910-06;32.8;1910-06-10;27.9;0;26;11;0
1910-07;35.6;1910-07-23;26.9;0;21;8;1
1910-08;34.8;1910-08-22;27.2;0;20;9;0
1910-09;27.2;1910-09-12;20.6;0;3;0;0
1910-10;23.0;1910-10-09;15.7;0;0;0;0
1910-11;16.3;1910-11-06;7.3;1;0;0;0
1910-12;13.5;1910-12-15;6.3;0;0;0;0
1911-01;7.8;1911-01-07;1.9;4;0;0;0
1911-02;9.3;1911-02-23;0.0;16;0;0;0
1911-03;25.8;1911-03-30;10.7;0;1;0;0
1911-04;25.6;1911-04-24;15.5;1;1;0;0
1911-05;29.9;1911-05-18;22.8;0;11;0;0
