#datum;m_txx;m_txxd;m_txa;m_dtx0;m_dtx25;m_dtx30;m_dtx35
1901-01;9.0;1901-01-23;-0.7;17;0;0;0
1901-02;9.1;1901-02-06;2.3;10;0;0;0
1901-03;19.2;1901-03-19;11.0;0;0;0;0
1901-04;26.8;1901-04-10;16.9;0;1;0;0
1901-05;27.3;1901-05-31;22.0;0;6;0;0
1901-06;30.2;1901-06-15;25.7;0;21;2;0
1901-07;32.8;1901-07-30;27.4;0;24;9;0
1901-08;33.8;1901-08-01;24.9;0;17;1;0
1901-09;25.0;1901-09-01;20.3;0;1;0;0
1901-10;23.4;1901-10-04;15.7;0;0;0;0
1901-11;16.7;1901-11-14;7.7;0;0;0;0
1901-12;13.0;1901-12-26;7.7;0;0;0;0
1902-01;12.8;1902-01-25;7.1;0;0;0;0
1902-02;14.7;1902-02-08;6.1;0;0;0;0
1902-03;20.0;1902-03-22;10.2;0;0;0;0
1902-04;22.0;1902-04-14;16.1;0;0;0;0
1902-05;26.3;1902-05-31;17.3;0;2;0;0
1902-06;29.0;1902-06-02;22.7;0;9;0;0
1902-07;30.1;1902-07-08;25.3;0;17;3;0
1902-08;32.5;1902-08-03;26.6;0;19;8;0
1902-09;30.1;1902-09-01;21.4;0;8;2;0
1902-10;19.8;1902-10-17;14.9;0;0;0;0
1902-11;12.4;1902-11-02;5.6;4;0;0;0
1902-12;10.5;1902-12-27;0.6;15;0;0;0
1903-01;16.1;1903-01-11;2.7;11;0;0;0
1903-02;17.5;1903-02-23;8.6;1;0;0;0
1903-03;22.4;1903-03-27;13.3;0;0;0;0
1903-04;21.0;1903-04-29;13.2;0;0;0;0
1903-05;26.4;1903-05-08;21.1;0;3;0;0
1903-06;27.8;1903-06-03;22.5;0;5;0;0
1903-07;33.2;1903-07-20;24.9;0;17;4;0
1903-08;30.8;1903-08-10;25.3;0;16;3;0
1903-09;30.5;1903-09-07;22.5;0;10;2;0
1903-10;24.8;1903-10-07;16.3;0;0;0;0
1903-11;15.3;1903-11-02;9.8;0;0;0;0
1903-12;13.5;1903-12-02;5.0;3;0;0;0
1904-01;10.0;1904-01-14;1.1;14;0;0;0
1904-02;12.1;1904-02-05;7.3;0;0;0;0
1904-03;16.5;1904-03-26;10.9;0;0;0;0
1904-04;24.2;1904-04-23;17.0;0;0;0;0
1904-05;29.5;1904-05-18;21.5;0;5;0;0
1904-06;30.0;1904-06-25;24.6;0;14;1;0
1904-07;33.7;1904-07-26;29.2;0;30;12;0
1904-08;33.1;1904-08-07;26.6;0;20;8;0
1904-09;27.2;1904-09-14;19.0;0;5;0;0
1904-10;19.0;1904-10-02;14.8;0;0;0;0
1904-11;16.0;1904-11-10;6.9;4;0;0;0
1904-12;13.0;1904-12-08;5.1;4;0;0;0
1905-01;7.0;1905-01-30;-0.1;15;0;0;0
1905-02;10.0;1905-02-28;4.1;4;0;0;0
1905-03;21.2;1905-03-31;11.5;0;0;0;0
1905-04;23.0;1905-04-30;14.8;0;0;0;0
1905-05;25.9;1905-05-03;20.8;0;3;0;0
1905-06;29.2;1905-06-30;25.2;0;20;0;0
1905-07;34.2;1905-07-03;28.9;0;27;12;0
1905-08;34.9;1905-08-05;28.5;0;24;11;0
1905-09;31.0;1905-09-12;23.8;0;11;5;0
1905-10;19.9;1905-10-01;10.4;0;0;0;0
1905-11;16.5;1905-11-05;10.2;0;0;0;0
1905-12;9.2;1905-12-01;5.0;2;0;0;0
1906-01;9.9;1906-01-14;2.8;7;0;0;0
1906-02;16.1;1906-02-28;4.4;0;0;0;0
1906-03;19.0;1906-03-19;11.1;0;0;0;0
1906-04;24.0;1906-04-13;17.3;0;0;0;0
1906-05;25.4;1906-05-29;21.3;0;2;0;0
1906-06;31.6;1906-06-29;22.7;0;14;1;0
1906-07;30.0;1906-07-19;25.6;0;22;1;0
1906-08;31.5;1906-08-04;25.2;0;17;5;0
1906-09;29.1;1906-09-05;19.6;0;10;0;0
1906-10;21.0;1906-10-16;15.4;0;0;0;0
1906-11;17.2;1906-11-08;12.2;0;0;0;0
1906-12;11.0;1906-12-01;2.4;8;0;0;0
1907-01;8.0;1907-01-03;2.0;8;0;0;0
1907-02;9.1;1907-02-20;2.0;12;0;0;0
1907-03;16.0;1907-03-20;7.1;0;0;0;0
1907-04;18.6;1907-04-27;12.2;0;0;0;0
1907-05;29.9;1907-05-09;23.9;0;16;0;0
1907-06;30.1;1907-06-30;24.9;0;16;1;0
1907-07;32.4;1907-07-02;25.2;0;17;3;0
1907-08;32.8;1907-08-10;26.9;0;22;8;0
1907-09;30.0;1907-09-03;22.8;0;5;1;0
1907-10;25.8;1907-10-10;21.2;0;1;0;0
1907-11;16.8;1907-11-01;8.2;0;0;0;0
1907-12;10.1;1907-12-21;6.3;1;0;0;0
1908-01;9.4;1908-01-28;1.6;10;0;0;0
1908-02;13.0;1908-02-23;5.4;1;0;0;0
1908-03;15.3;1908-03-31;9.5;0;0;0;0
1908-04;20.1;1908-04-26;14.7;0;0;0;0
