#datum;m_txx;m_txxd;m_txa;m_dtx0;m_dtx25;m_dtx30;m_dtx35
1901-01;6.1;1901-01-23;-3.9;22;0;0;0
1901-02;11.2;1901-02-06;0.4;12;0;0;0
1901-03;19.5;1901-03-19;10.4;0;0;0;0
1901-04;25.0;1901-04-10;15.9;0;1;0;0
1901-05;29.1;1901-05-31;21.7;0;7;0;0
1901-06;31.3;1901-06-01;25.9;0;18;3;0
1901-07;33.0;1901-07-30;27.2;0;25;5;0
1901-08;32.1;1901-08-01;24.7;0;16;1;0
1901-09;27.2;1901-09-01;20.5;0;1;0;0
1901-10;24.6;1901-10-03;16.2;0;0;0;0
1901-11;19.5;1901-11-15;7.8;0;0;0;0
1901-12;14.4;1901-12-20;7.5;0;0;0;0
1902-01;10.2;1902-01-03;5.7;1;0;0;0
1902-02;12.8;1902-02-08;6.5;0;0;0;0
1902-03;18.4;1902-03-23;9.0;2;0;0;0
1902-04;20.3;1902-04-04;14.7;0;0;0;0
1902-05;25.3;1902-05-31;17.4;0;1;0;0
1902-06;31.0;1902-06-30;23.7;0;12;1;0
1902-07;32.3;1902-07-01;26.0;0;17;4;0
1902-08;34.2;1902-08-03;27.2;0;22;9;0
1902-09;30.1;1902-09-06;21.4;0;8;1;0
1902-10;20.2;1902-10-17;14.9;0;0;0;0
1902-11;14.0;1902-11-02;5.4;5;0;0;0
1902-12;9.8;1902-12-31;-1.8;15;0;0;0
1903-01;14.3;1903-01-11;1.3;13;0;0;0
1903-02;18.2;1903-02-23;8.3;0;0;0;0
1903-03;23.2;1903-03-29;14.5;0;0;0;0
1903-04;22.7;1903-04-29;13.9;0;0;0;0
1903-05;28.0;1903-05-08;21.4;0;5;0;0
1903-06;29.0;1903-06-03;23.4;0;12;0;0
1903-07;35.4;1903-07-20;26.3;0;21;8;1
1903-08;33.2;1903-08-15;26.5;0;20;7;0
1903-09;32.8;1903-09-14;23.2;0;12;3;0
1903-10;24.4;1903-10-07;16.6;0;0;0;0
1903-11;16.7;1903-11-01;10.1;0;0;0;0
1903-12;13.0;1903-12-02;5.5;3;0;0;0
1904-01;12.1;1904-01-14;0.5;15;0;0;0
1904-02;14.2;1904-02-06;6.5;0;0;0;0
1904-03;15.1;1904-03-10;10.1;0;0;0;0
1904-04;25.4;1904-04-23;17.2;0;1;0;0
1904-05;30.9;1904-05-18;22.3;0;9;1;0
1904-06;31.2;1904-06-25;24.9;0;15;1;0
1904-07;36.2;1904-07-26;30.0;0;30;14;5
1904-08;35.3;1904-08-07;28.1;0;22;13;2
1904-09;29.0;1904-09-14;20.0;0;4;0;0
1904-10;19.8;1904-10-02;14.7;0;0;0;0
1904-11;15.0;1904-11-08;6.7;2;0;0;0
