#datum;m_txx;m_txxd;m_txa;m_dtx0;m_dtx25;m_dtx30;m_dtx35
1901-01;9.0;1901-01-23;-1.6;17;0;0;0
1901-02;5.8;1901-02-05;0.7;12;0;0;0
1901-03;18.0;1901-03-19;9.0;0;0;0;0
1901-04;24.0;1901-04-09;16.5;0;0;0;0
1901-05;29.0;1901-05-31;21.8;0;4;0;0
1901-06;30.5;1901-06-01;24.9;0;21;2;0
1901-07;33.0;1901-07-29;27.6;0;24;10;0
1901-08;32.5;1901-08-01;25.1;0;18;1;0
1901-09;27.0;1901-09-01;18.7;0;1;0;0
1901-10;22.1;1901-10-04;14.9;0;0;0;0
1901-11;16.1;1901-11-14;6.8;1;0;0;0
1901-12;11.1;1901-12-20;5.9;0;0;0;0
1902-01;10.5;1902-01-25;6.2;2;0;0;0
1902-02;12.0;1902-02-08;3.6;3;0;0;0
1902-03;17.6;1902-03-21;9.7;1;0;0;0
1902-04;21.5;1902-04-21;14.9;0;0;0;0
1902-05;26.5;1902-05-31;16.9;0;3;0;0
1902-06;30.0;1902-06-02;22.7;0;9;2;0
1902-07;30.2;1902-07-10;24.4;0;15;2;0
1902-08;30.0;1902-08-07;24.5;0;17;1;0
1902-09;27.5;1902-09-01;19.7;0;7;0;0
1902-10;19.5;1902-10-11;13.3;0;0;0;0
1902-11;10.5;1902-11-01;4.4;8;0;0;0
1902-12;11.5;1902-12-27;0.3;15;0;0;0
1903-01;14.0;1903-01-11;0.7;13;0;0;0
1903-02;19.2;1903-02-22;8.2;1;0;0;0
1903-03;21.5;1903-03-27;12.5;0;0;0;0
1903-04;21.0;1903-04-29;12.1;0;0;0;0
1903-05;26.0;1903-05-03;20.7;0;3;0;0
1903-06;27.5;1903-06-03;23.0;0;11;0;0
1903-07;33.0;1903-07-20;24.5;0;17;4;0
1903-08;29.5;1903-08-10;24.4;0;15;0;0
1903-09;27.5;1903-09-01;20.0;0;7;0;0
1903-10;24.0;1903-10-07;14.4;0;0;0;0
1903-11;13.0;1903-11-03;8.2;0;0;0;0
1903-12;7.0;1903-12-10;2.9;3;0;0;0
1904-01;8.5;1904-01-14;0.2;16;0;0;0
1904-02;14.0;1904-02-04;6.3;2;0;0;0
1904-03;17.0;1904-03-10;9.3;0;0;0;0
1904-04;23.0;1904-04-14;16.4;0;0;0;0
1904-05;27.5;1904-05-18;20.8;0;5;0;0
1904-06;30.0;1904-06-17;24.3;0;14;3;0
1904-07;33.0;1904-07-17;28.3;0;29;11;0
1904-08;34.5;1904-08-07;25.6;0;18;6;0
1904-09;25.0;1904-09-10;17.8;0;2;0;0
1904-10;19.0;1904-10-07;13.9;0;0;0;0
1904-11;15.5;1904-11-10;6.7;0;0;0;0
1904-12;11.0;1904-12-08;4.4;1;0;0;0
1905-01;8.5;1905-01-31;-0.1;18;0;0;0
1905-02;8.0;1905-02-24;4.1;2;0;0;0
1905-03;22.0;1905-03-31;10.6;0;0;0;0
1905-04;22.5;1905-04-30;14.3;0;0;0;0
1905-05;25.5;1905-05-31;20.6;0;3;0;0
1905-06;31.0;1905-06-30;25.1;0;22;2;0
1905-07;35.0;1905-07-02;28.5;0;28;14;1
1905-08;35.0;1905-08-05;26.8;0;21;9;1
1905-09;29.0;1905-09-12;21.8;0;8;0;0
1905-10;16.5;1905-10-01;9.7;0;0;0;0
1905-11;13.5;1905-11-03;8.1;0;0;0;0
1905-12;8.3;1905-12-09;4.2;3;0;0;0
1906-01;8.4;1906-01-30;2.4;10;0;0;0
